,ADF,ADL,AFD,ALM,ASE,ASG,ASH,ASI,ASJ,ASK,AUA,AWA,AWB,AWC,BAG,DVA,FLP,IL2D,IL2L/R,IL2V,OLL,OLQD,OLQV,SAAD,SAAV,URB,URX,URYD,URYV
ADF,0,-10,-25,-155,-60,-30,-20,240,-70,-95,-15,-30,0,-15,-10,0,-145,0,-5,-5,-125,-120,-130,-15,-15,-10,-100,-5,-15
ADL,10,0,-15,-145,-50,-20,-10,250,-60,-85,-5,-20,10,-5,0,10,-135,10,5,5,-115,-110,-120,-5,-5,0,-90,5,-5
AFD,25,15,0,-130,-35,-5,5,265,-45,-70,10,-5,25,10,15,25,-120,25,20,20,-100,-95,-105,10,10,15,-75,20,10
ALM,155,145,130,0,95,125,135,395,85,60,140,125,155,140,145,155,10,155,150,150,30,35,25,140,140,145,55,150,140
ASE,60,50,35,-95,0,30,40,300,-10,-35,45,30,60,45,50,60,-85,60,55,55,-65,-60,-70,45,45,50,-40,55,45
ASG,30,20,5,-125,-30,0,10,270,-40,-65,15,0,30,15,20,30,-115,30,25,25,-95,-90,-100,15,15,20,-70,25,15
ASH,20,10,-5,-135,-40,-10,0,260,-50,-75,5,-10,20,5,10,20,-125,20,15,15,-105,-100,-110,5,5,10,-80,15,5
ASI,-240,-250,-265,-395,-300,-270,-260,0,-310,-335,-255,-270,-240,-255,-250,-240,-385,-240,-245,-245,-365,-360,-370,-255,-255,-250,-340,-245,-255
ASJ,70,60,45,-85,10,40,50,310,0,-25,55,40,70,55,60,70,-75,70,65,65,-55,-50,-60,55,55,60,-30,65,55
ASK,95,85,70,-60,35,65,75,335,25,0,80,65,95,80,85,95,-50,95,90,90,-30,-25,-35,80,80,85,-5,90,80
AUA,15,5,-10,-140,-45,-15,-5,255,-55,-80,0,-15,15,0,5,15,-130,15,10,10,-110,-105,-115,0,0,5,-85,10,0
AWA,30,20,5,-125,-30,0,10,270,-40,-65,15,0,30,15,20,30,-115,30,25,25,-95,-90,-100,15,15,20,-70,25,15
AWB,0,-10,-25,-155,-60,-30,-20,240,-70,-95,-15,-30,0,-15,-10,0,-145,0,-5,-5,-125,-120,-130,-15,-15,-10,-100,-5,-15
AWC,15,5,-10,-140,-45,-15,-5,255,-55,-80,0,-15,15,0,5,15,-130,15,10,10,-110,-105,-115,0,0,5,-85,10,0
BAG,10,0,-15,-145,-50,-20,-10,250,-60,-85,-5,-20,10,-5,0,10,-135,10,5,5,-115,-110,-120,-5,-5,0,-90,5,-5
DVA,0,-10,-25,-155,-60,-30,-20,240,-70,-95,-15,-30,0,-15,-10,0,-145,0,-5,-5,-125,-120,-130,-15,-15,-10,-100,-5,-15
FLP,145,135,120,-10,85,115,125,385,75,50,130,115,145,130,135,145,0,145,140,140,20,25,15,130,130,135,45,140,130
IL2D,0,-10,-25,-155,-60,-30,-20,240,-70,-95,-15,-30,0,-15,-10,0,-145,0,-5,-5,-125,-120,-130,-15,-15,-10,-100,-5,-15
IL2L/R,5,-5,-20,-150,-55,-25,-15,245,-65,-90,-10,-25,5,-10,-5,5,-140,5,0,0,-120,-115,-125,-10,-10,-5,-95,0,-10
