,PosPre,PosPost,NegPre,NegPost,Pre*,Post*,Pre-to-Post*
ADA,92.5,0,0,-105,92.5,105,-12.5
ADA,104,0,-5,-100.8333333,99,100.8333333,3.166666667
ADF,0,46,-41.42857143,0,-41.42857143,46,0
ADF,0,33.46153846,-15,0,-15,33.46153846,0
ADL,0,35.625,-7.5,-2.5,-7.5,38.125,-2.5
ADL,127.5,49,-34,-10,93.5,59,117.5
AFD,0,46.66666667,-46.66666667,-7.5,-46.66666667,54.16666667,-7.5
AFD,78.75,20,-20,-18.75,58.75,38.75,60
AIA,7.5,74,-74,-7.5,-66.5,81.5,0
AIA,57.5,28.75,-32,-57.5,25.5,86.25,0
AIB,2.5,31.78571429,-45.41666667,0,-42.91666667,31.78571429,2.5
AIB,45.83333333,3,-33.84615385,-3.333333333,11.98717949,6.333333333,42.5
AIN,10,0,0,-20.625,10,20.625,-10.625
AIN,80,35,-30,-30.71428571,50,65.71428571,49.28571429
AIY,8,26,-35,-6.666666667,-27,32.66666667,1.333333333
AIY,49.28571429,13.33333333,-13.33333333,-14.16666667,35.95238095,27.5,35.11904762
AIZ,100,0,0,-113.6363636,100,113.6363636,-13.63636364
AIZ,126,0,0,-127.7272727,126,127.7272727,-1.727272727
ALM,10,0,0,-86.25,10,86.25,-76.25
ALM,0,0,0,-147.5,0,147.5,-147.5
ASE,28.33333333,85,-85,-33,-56.66666667,118,-4.666666667
ASE,65,0,-17.5,-67.5,47.5,67.5,-2.5
ASG,5,115,-65,-12.5,-60,127.5,-7.5
ASG,67,35,-33.75,-15,33.25,50,52
ASH,5,49,-62.5,-7.5,-57.5,56.5,-2.5
ASH,77.5,51.25,-42.5,-16.66666667,35,67.91666667,60.83333333
ASI,0,265,-265,0,-265,265,0
ASI,0,269.5,-280,0,-280,269.5,0
ASJ,0,0,0,-35,0,35,-35
ASJ,46.66666667,25,-25,-40,21.66666667,65,6.666666667
ASK,70,45,0,-73.75,70,118.75,-3.75
ASK,95,0,0,-89.375,95,89.375,5.625
AUA,2.5,10.83333333,-43.57142857,-2.5,-41.07142857,13.33333333,0
AUA,12.5,42.5,-50,-8.75,-37.5,51.25,3.75
AVA,1.25,0,-54.5,0,-53.25,0,1.25
AVA,35,0,-40.625,0,-5.625,0,35
AVB,21.25,0,-67.85714286,0,-46.60714286,0,21.25
AVB,9.285714286,0,-70,0,-60.71428571,0,9.285714286
AVD,50,0,-76.5,0,-26.5,0,50
AVD,2.5,0,-43,0,-40.5,0,2.5
AVE,19.375,0,-80,0,-60.625,0,19.375
AVE,25,0,-96.25,0,-71.25,0,25
AWA,5,111.6666667,-115,-10,-110,121.6666667,-5
AWA,52.14285714,27,-23.33333333,-39.5,28.80952381,66.5,12.64285714
AWB,0,51.875,-65,0,-65,51.875,0
AWB,120,37.5,-30,0,90,37.5,120
AWC,0,45,-45,-5,-45,50,-5
AWC,57,43.33333333,-17,-55,40,98.33333333,2
BAG,0,24.09090909,-27.77777778,-2.5,-27.77777778,26.59090909,-2.5
BAG,54,27.5,-15,0,39,27.5,54
