,N-P,XOR First,XOR Second,XNOR,P-N
ADA,0,0,0,0,1
ADF,1,0,0,1,0
ADL,0,0,0,0,1
AFD,0,0,0,0,1
AIA,0,0,0,0,1
AIB,0,0,0,0,1
AIN,0,0,0,0,1
AIY,0,0,0,0,1
AIZ,0,0,0,0,1
ALM,0,1,0,0,0
ASE,0,0,0,0,1
ASG,0,0,0,0,1
ASH,0,0,0,0,1
ASI,1,0,0,1,0
ASJ,0,0,0,0,1
ASK,0,0,0,0,1
AUA,1,0,0,0,0
AVA,1,0,1,0,0
AVB,1,0,1,0,0
AVD,1,0,1,0,0
AVE,1,0,1,0,0
AWA,0,0,0,0,1
AWB,0,0,1,0,0
AWC,0,0,0,0,1
BAG,0,0,1,0,0
BDU,0,1,0,0,0
DVA,1,0,0,1,0
DVC,1,1,0,0,0
FLP,0,0,0,0,1
IL2D,1,1,0,0,0
IL2L/R,1,0,1,0,0
IL2V,1,0,0,1,0
OLL,0,0,0,0,1
OLQD,0,0,0,0,1
OLQV,0,0,0,0,1
PVC,0,0,0,0,1
PVP,1,0,0,0,0
PVR,1,0,0,1,0
PVT,0,0,0,1,0
RIA,1,0,1,0,0
RIB,1,0,0,0,0
RIF,0,0,0,0,1
RIG,1,0,0,0,0
RIH,1,0,0,0,0
RIM,0,0,0,0,1
RIP,0,0,0,0,1
RIR,1,0,0,0,0
SAAD,0,0,0,1,0
SAAV,0,0,0,1,0
URB,1,0,0,0,0
URX,0,0,0,0,1
URYD,1,0,1,0,0
URYV,1,0,1,0,0
