,Transient-Pre,Develop-Pre,Stable-Pre,Transient-Post,Develop-Post,Stable-Post
ADF,10,3.5,3.5,5,1,0.5
ADL,6.5,4.5,4,2.5,2,0
AFD,4.5,1.5,1.5,3.5,0.5,0.5
ALM,3.5,2.5,2.5,1,0,0
ASE,4.5,1,2.5,6,0,1.5
ASG,2,0.5,0.5,5,0.5,0
ASH,5,4.5,2.5,4,1.5,0
ASI,6,4.5,4,3,0,0
ASJ,2.5,1,1,2,0,0
ASK,5.5,3,2,3,0.5,0.5
AUA,4,1.5,1.5,6.5,0.5,0.5
AWA,6.5,5.5,5.5,5.5,0.5,0
AWB,5,2.5,4,4,0.5,0.5
AWC,5,1,4,4,0,2.5
BAG,5,3,3,7.5,0,1.5
DVA,8.5,5.5,5.5,5,0,0.5
FLP,3,2.5,4,1.5,0,0.5
IL2D,4,3,2,2.5,0,0
IL2L/R,3.5,0,3,3.5,1,1
IL2V,3.5,2.5,1.5,2.5,0,0
OLL,2.5,0,0,6.5,0,0
OLQD,2,1,2.5,2,0.5,1
OLQV,2.5,1.5,3,5,0.5,1.5
SAAD,1,0.5,0.5,2.5,0,1
SAAV,3,2,2,1.5,0.5,0.5
URB,3.5,3,3.5,3,0,0
URX,5,4,3,7.5,0,1
URYD,1.5,0.5,0.5,3.5,0,0
URYV,3,2.5,2.5,6,0.5,0
ADA,7,0,6,7.5,0.5,0.5
AIA,5.5,1,6,4.5,0,4
AIB,6.5,3,6,7.5,1.5,6
AIN,5.5,1,7.5,5,0,0
AIY,6.5,1,4.5,6,0,2
AIZ,8.5,0,7.5,6,0,4.5
AVA,0,0,0,4.5,1.5,5.5
AVB,0,0,0,5.5,1,4.5
AVD,0,0,0,7.5,1,2.5
AVE,0,0,0,7,1.5,5
BDU,4.5,0,0,2,0,0.5
DVC,6.5,0,6,2.5,0,0
PVC,3.5,0,6,4,0.5,0.5
PVP,7,0,4.5,5.5,0,0
PVR,1.5,0,3,1.5,0,0
PVT,5.5,0,3,1,0,0
RIA,0.5,0,1.5,4,2,6
RIB,5.5,0,9,3,0,6
RIF,6,1,3,4,0.5,0.5
RIG,6.5,1,12,6,1,2
RIH,5.5,0,9,6.5,0,0.5
RIM,5.5,1,7.5,4.5,0.5,3
RIP,1.5,0,0,1.5,0,2.5
RIR,5,1,6,4,0,1.5
